config,pid,pin,dim,repeat,seed,budget_scale,rpr,f1,score,precision,n_sol,used_eval,elapsed_sec,control,mrmc_relation_uses,mrmc_maximin_selections,mrmc_random_selections,mrmc_terminal_memory_peak,mrmc_persistent_guidance_uses,mrmc_sparse_guidance_uses,mrmc_working_memory_peak,mrmc_evidence_observed,mrmc_working_additions,mrmc_working_promotions
RMC-CMSA,6,1,20,8,4147807468,1.0,0.25,0.4,0.325,1.0,5,399950,168.349,full,106,107,1,14,95,1,22,76105,22,0
RMC-CMSA,6,1,20,10,2307588622,1.0,0.25,0.4,0.325,1.0,5,399931,167.94,full,136,138,1,20,127,2,17,75720,17,0
RMC-CMSA,6,1,20,9,1353101125,1.0,0.1,0.18181818181818182,0.14090909090909093,1.0,2,399969,179.217,full,358,360,1,28,348,2,58,74470,58,0
RMC-CMSA,10,1,20,5,3875162692,1.0,0.5,0.6666666666666666,0.5833333333333333,1.0,5,399926,119.304,full,163,167,1,111,166,4,1,76240,1,0
RMC-CMSA,10,1,20,6,279444466,1.0,0.6,0.7499999999999999,0.6749999999999999,1.0,6,399933,123.448,full,216,217,1,122,215,1,8,76020,8,0
RMC-CMSA,10,1,20,8,3310611219,1.0,0.6,0.7499999999999999,0.6749999999999999,1.0,6,399938,119.629,full,159,160,1,109,158,1,5,76260,5,0
RMC-CMSA,14,1,20,1,1021354410,1.0,0.2,0.33333333333333337,0.2666666666666667,1.0,2,399969,109.923,full,38,39,1,6,31,1,3,76880,3,0
RMC-CMSA,10,1,20,9,3625317039,1.0,0.5,0.6666666666666666,0.5833333333333333,1.0,5,399938,130.539,full,237,245,1,122,244,8,6,76005,6,0
RMC-CMSA,14,1,20,2,2289296825,1.0,0.2,0.33333333333333337,0.2666666666666667,1.0,2,399973,113.837,full,54,56,1,18,51,2,29,76755,29,0
RMC-CMSA,14,1,20,3,1098493118,1.0,0.2,0.33333333333333337,0.2666666666666667,1.0,2,399967,112.16,full,78,79,1,20,75,1,10,76675,10,0
RMC-CMSA,14,1,20,5,3820371101,1.0,0.2,0.33333333333333337,0.2666666666666667,1.0,2,399975,113.378,full,50,51,1,8,38,1,3,76840,3,0
RMC-CMSA,14,1,20,4,2880851931,1.0,0.1,0.18181818181818182,0.14090909090909093,1.0,1,399978,120.22,full,67,70,1,11,68,3,60,76605,60,0
RMC-CMSA,14,1,20,6,2728520348,1.0,0.1,0.18181818181818182,0.14090909090909093,1.0,1,399976,124.843,full,130,132,1,19,124,2,60,76285,60,0
RMC-CMSA,14,1,20,8,4252367854,1.0,0.1,0.18181818181818182,0.14090909090909093,1.0,1,399968,117.772,full,79,80,1,22,75,1,60,76420,60,0
RMC-CMSA,14,1,20,7,2876809346,1.0,0.1,0.18181818181818182,0.14090909090909093,1.0,1,399984,119.747,full,74,75,1,10,70,1,60,76595,60,0
RMC-CMSA,14,1,20,9,2572916736,1.0,0.2,0.33333333333333337,0.2666666666666667,1.0,2,399973,113.235,full,44,46,1,2,15,2,0,76910,0,0
RMC-CMSA,14,1,20,10,3875540033,1.0,0.2,0.33333333333333337,0.2666666666666667,1.0,2,399959,112.717,full,44,46,1,2,0,2,0,76915,0,0
RMC-NoMaximin,1,1,20,1,4034386166,1.0,0.6,0.7499999999999999,0.6749999999999999,1.0,12,399931,193.195,no_maximin,156,0,158,145,155,1,0,76300,0,0
RMC-NoMaximin,1,1,20,4,409577597,1.0,0.65,0.787878787878788,0.718939393939394,1.0,13,399939,187.739,no_maximin,109,0,111,97,107,1,1,76515,1,0
RMC-NoMaximin,1,1,20,3,3239354781,1.0,0.6,0.7499999999999999,0.6749999999999999,1.0,12,399934,192.524,no_maximin,122,0,124,111,120,1,1,76405,1,0
RMC-NoMaximin,1,1,20,5,1950732293,1.0,0.65,0.787878787878788,0.718939393939394,1.0,13,399932,190.178,no_maximin,148,0,150,136,147,1,1,76320,1,0
RMC-NoMaximin,1,1,20,7,4201903172,1.0,0.6,0.7499999999999999,0.6749999999999999,1.0,12,399929,189.805,no_maximin,172,0,175,160,173,2,2,76225,2,0
RMC-NoMaximin,1,1,20,8,559768992,1.0,0.55,0.7096774193548387,0.6298387096774194,1.0,11,399935,187.313,no_maximin,162,0,164,150,160,1,1,76285,1,0
RMC-NoMaximin,1,1,20,6,2403006679,1.0,0.65,0.787878787878788,0.718939393939394,1.0,13,399934,211.526,no_maximin,217,0,219,205,216,1,1,76080,1,0
RMC-NoMaximin,1,1,20,9,2092010971,1.0,0.6,0.7499999999999999,0.6749999999999999,1.0,12,399944,198.667,no_maximin,191,0,193,180,187,1,1,76130,1,0
RMC-CMSA,10,1,20,7,4176439215,1.0,0.7,0.8235294117647058,0.7617647058823529,1.0,7,399946,483.559,full,174,179,1,169,178,5,1,76195,1,0
RMC-CMSA,10,1,20,3,1544670583,1.0,0.5,0.6666666666666666,0.5833333333333333,1.0,5,399949,602.348,full,132,133,1,75,131,1,14,75795,14,0
RMC-NoMaximin,1,1,20,10,2958819918,1.0,0.55,0.7096774193548387,0.6298387096774194,1.0,11,399934,186.861,no_maximin,127,0,129,115,125,1,2,76400,2,0
