dimension,seed,representatives,total_candidates_per_condition,relation_candidates,shared_uniform_candidates,relation_clipped_candidate_fraction,relation_clipped_coordinate_fraction,uniform_distance_contrast_mean,uniform_clearance_cv,combined_clearance_cv,uniform_selected_clearance_over_sqrt_d,combined_selected_clearance_over_sqrt_d,paired_clearance_difference_over_sqrt_d,combined_selected_relation,combined_selected_on_boundary,mean_relation_edge_length_over_sqrt_d,relation_edges,uniform_propose_seconds,combined_propose_seconds
20,18,16,800,400,400,0.995,0.22975,0.43347779987587887,0.11138348914009132,0.14454085491615046,0.4022667709135512,0.4022667709135512,0.0,0,0,0.3234966194825208,13,0.001281000004382804,0.0015477999986615032
20,19,16,800,400,400,1.0,0.27525,0.44236468847934973,0.1065710777886093,0.15104173068195104,0.39959174753345134,0.38404237232905536,-0.015549375204395963,0,0,0.33054049228089877,11,0.001289099978748709,0.0018900000141002238
50,0,16,5000,2500,2500,1.0,0.277744,0.2701118628554612,0.05934864430428962,0.13001370151669084,0.4159908890353502,0.41254077497573227,-0.003450114059617952,0,0,0.35435709901902407,13,0.021726899984059855,0.02844520000508055
50,1,16,5000,2500,2500,1.0,0.259712,0.27619299706268186,0.06289724758720386,0.1440057111949617,0.41360518406843505,0.4110967954262888,-0.0025083886421462774,0,0,0.33677378257503165,12,0.02035720000276342,0.025837099994532764
50,2,16,5000,2500,2500,1.0,0.268816,0.26930890786191203,0.0617245312889079,0.1319857790687346,0.4123259995202635,0.4079040060631116,-0.004421993457151879,0,0,0.3464176093046968,12,0.01952609998988919,0.021773300017230213
50,3,16,5000,2500,2500,1.0,0.28004,0.26865174790593294,0.06195942662937812,0.13433190045004048,0.4245080767086067,0.42212592493280804,-0.0023821517757986136,0,0,0.3517436049030467,12,0.019559100008336827,0.020931300008669496
50,4,16,5000,2500,2500,1.0,0.266208,0.27801201294727046,0.060868648099121,0.13524519132551358,0.40966624359394166,0.40966624359394166,0.0,0,0,0.3436786936048693,11,0.0180549000215251,0.020447200018679723
50,5,16,5000,2500,2500,1.0,0.281768,0.2691918267867109,0.0622417211071665,0.12951367993129148,0.4200444017750947,0.4200444017750947,0.0,0,0,0.3571694350718129,13,0.0172786999901291,0.019821199995931238
50,6,16,5000,2500,2500,1.0,0.272576,0.2676978719437621,0.06125470478755713,0.13308843098712683,0.423499446442996,0.4123072691408043,-0.011192177302191663,0,0,0.3473767492431353,11,0.016547300008824095,0.017873500008136034
50,7,16,5000,2500,2500,1.0,0.27136,0.2798164475027337,0.061951857810412826,0.13203139239849854,0.41932108619806335,0.4122659381079557,-0.00705514809010766,0,0,0.348736250648318,12,0.017905499989865348,0.021655699994880706
50,8,16,5000,2500,2500,1.0,0.285912,0.27579875792246933,0.05845816960228301,0.12634879174955554,0.42183955885309965,0.408290081133176,-0.013549477719923647,0,0,0.3622949784627502,13,0.021183599979849532,0.025230599974747747
50,9,16,5000,2500,2500,1.0,0.278496,0.2768174514445345,0.06146604429494247,0.13335148134759203,0.4149697730169957,0.4149697730169957,0.0,0,0,0.3537903914637899,12,0.021263300004648045,0.020630800019716844
50,10,16,5000,2500,2500,1.0,0.27092,0.26379980361501276,0.05990926558564105,0.14746280441396703,0.4229932437868755,0.4229932437868755,0.0,0,0,0.3409631323168151,13,0.018172299984144047,0.019781300012255087
50,11,16,5000,2500,2500,1.0,0.289224,0.27869440081832847,0.06154891402977505,0.12639218018121345,0.42750374381073786,0.41390031483645884,-0.01360342897427906,0,0,0.3627877248965187,14,0.018665900017367676,0.018964200018672273
50,12,16,5000,2500,2500,1.0,0.276344,0.27569339543418336,0.059021840030132645,0.12425489228894694,0.41830403664470456,0.4128531507954008,-0.0054508858493037635,0,0,0.3549461018766682,13,0.018595100002130494,0.0212253000063356
50,13,16,5000,2500,2500,1.0,0.26116,0.2772658685712185,0.06283581676383053,0.13894506037538498,0.4199884792292881,0.4199884792292881,0.0,0,0,0.3377741579431348,12,0.018146399990655482,0.018827799998689443
50,14,16,5000,2500,2500,1.0,0.29448,0.2616355099323074,0.05997670844545232,0.13475122900492081,0.424665696099743,0.424665696099743,0.0,0,0,0.36124709849063075,10,0.017420300020603463,0.023447299987310544
50,15,16,5000,2500,2500,1.0,0.25896,0.2891967001853614,0.06276331651378945,0.12744859450743534,0.4060400656735474,0.4060400656735474,0.0,0,0,0.34238339870165707,14,0.020674599974881858,0.01904729998204857
50,16,16,5000,2500,2500,1.0,0.279544,0.26128725560829524,0.061241594695127764,0.13719340673071917,0.41814207038021356,0.41476027803089577,-0.003381792349317769,0,0,0.3509667254186403,13,0.01837330000125803,0.02285810001194477
50,17,16,5000,2500,2500,1.0,0.274992,0.27268507678345216,0.06047276535570145,0.1310132823943997,0.42300676723139263,0.40876403463258043,-0.014242732598812233,0,0,0.35068172937864817,11,0.021752599976025522,0.023805400007404387
50,18,16,5000,2500,2500,1.0,0.26948,0.27754756902650196,0.06418314809483962,0.13768588125801717,0.4187582215816716,0.41836017143101445,-0.00039805015065714106,0,0,0.34518782003418746,11,0.023416299984091893,0.024263300001621246
50,19,16,5000,2500,2500,1.0,0.294808,0.27147251439758835,0.061410590065048294,0.1265695578261172,0.43246262122347306,0.42380928028470993,-0.00865334093876309,0,0,0.3652373990896666,11,0.018591700005345047,0.022296000010101125
100,0,16,20000,10000,10000,1.0,0.296928,0.19230505376265555,0.04046131561752495,0.13368517258571566,0.4214056399205478,0.4214056399205478,0.0,0,0,0.3712631555633591,12,0.20478000000002794,0.2724650999880396
100,1,16,20000,10000,10000,1.0,0.289027,0.19715377958412408,0.04192437006621068,0.13021947618916777,0.42382677104997724,0.4188712309482077,-0.004955540101769529,0,0,0.36804316993540087,13,0.17044660000829026,0.20064009999623522
100,2,16,20000,10000,10000,1.0,0.29949,0.19675334936534636,0.04078424808905679,0.1255892263084869,0.4194311148211325,0.41615860964574763,-0.003272505175384843,0,0,0.37436249675517297,12,0.16447909999988042,0.1604724999924656
100,3,16,20000,10000,10000,1.0,0.287007,0.20403187201386017,0.04244933305248809,0.1213952681132433,0.4188449990312604,0.4188449990312604,0.0,0,0,0.37075946294025364,14,0.159905999986222,0.18261129999882542
100,4,16,20000,10000,10000,1.0,0.303762,0.19117442188867936,0.03967875964760436,0.12525122728949287,0.428398854584648,0.428398854584648,0.0,0,0,0.38005312428809046,12,0.16459470000700094,0.18035130001953803
